epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.90233,1.92546,3.62576,1.33179,0.00027,0.01961,0.00014,7e-05,0.51058,3.62627,0.80511,0,0,0
2,8.44367,2.34141,3.63502,1.56534,0,0,0,0,0.51285,3.62835,0.80558,1.40542e-05,1.40542e-05,1.40542e-05
3,8.82153,1.81186,3.62978,1.29898,0,0,0,0,0.51199,3.62787,0.80504,2.76369e-05,2.76369e-05,2.76369e-05
4,9.18145,2.0825,3.6674,1.36453,0,0,0,0,0.51552,3.6291,0.80535,4.07479e-05,4.07479e-05,4.07479e-05
5,9.52873,1.6276,3.58186,1.22151,0,0,0,0,0.51715,3.63076,0.80533,5.33874e-05,5.33874e-05,5.33874e-05
6,9.91633,2.30563,3.65198,1.57067,0.0007,0.03988,0.00058,0.00018,0.71621,3.67622,0.82929,6.55554e-05,6.55554e-05,6.55554e-05
7,10.3773,1.48227,3.58966,1.19889,0.00822,0.37663,0.0261,0.00983,0.9013,3.7431,0.87766,7.72517e-05,7.72517e-05,7.72517e-05
8,10.9523,1.73502,3.54591,1.17756,0.01377,0.60759,0.06446,0.02592,1.00932,3.90133,0.95149,8.84765e-05,8.84765e-05,8.84765e-05
9,11.3907,1.60736,3.53163,1.1701,0.02083,0.83082,0.13945,0.05034,1.13815,3.9808,1.02026,9.92298e-05,9.92298e-05,9.92298e-05
10,11.8613,1.15947,3.50999,1.01802,0.02235,0.86295,0.19212,0.0574,1.27295,4.02899,1.07911,0.000109511,0.000109511,0.000109511
11,12.3282,1.34008,3.49671,1.06717,0.02493,0.92722,0.25755,0.07175,1.35796,4.03963,1.11802,0.000119322,0.000119322,0.000119322
12,12.774,1.01298,3.35414,0.99485,0.02734,0.98374,0.30922,0.09034,1.38196,3.98974,1.10983,0.00012866,0.00012866,0.00012866
13,13.2388,1.15336,3.11386,1.02334,0.0268,0.976,0.32841,0.11588,1.3834,3.91669,1.07507,0.000137527,0.000137527,0.000137527
14,13.703,0.92507,2.98119,0.92388,0.02614,0.99187,0.31183,0.13462,1.38555,3.83166,1.04534,0.000145922,0.000145922,0.000145922
15,14.1861,1.03883,2.84067,0.93855,0.02516,0.99187,0.30927,0.1663,1.30072,3.75995,1.00842,0.000153846,0.000153846,0.000153846
16,14.6676,1.27595,2.81505,1.03858,0.02478,1,0.31684,0.15102,1.38947,3.785,1.04635,0.000161298,0.000161298,0.000161298
17,15.1513,1.09716,2.68539,0.94591,0.02406,1,0.30462,0.09442,1.61063,3.88528,1.16551,0.000168279,0.000168279,0.000168279
18,15.7729,1.31212,2.54094,1.02887,0.02406,1,0.30462,0.09442,1.61063,3.88528,1.16551,0.000174788,0.000174788,0.000174788
19,16.2373,0.96331,2.6217,0.96008,0.02118,0.88916,0.27417,0.06652,1.68505,3.97023,1.25305,0.000180826,0.000180826,0.000180826
20,16.6795,0.98094,2.36822,0.99302,0.02118,0.88916,0.27417,0.06652,1.68505,3.97023,1.25305,0.000186392,0.000186392,0.000186392
21,17.1414,1.16422,2.55611,0.97185,0.01766,0.74619,0.23344,0.04502,1.7622,4.04081,1.34226,0.000191486,0.000191486,0.000191486
22,17.5621,1.00961,2.34081,0.95283,0.01766,0.74619,0.23344,0.04502,1.7622,4.04081,1.34226,0.000196109,0.000196109,0.000196109
23,18.0235,0.97159,2.32278,0.9684,0.01632,0.69044,0.24292,0.0463,1.85436,4.03775,1.41037,0.00020026,0.00020026,0.00020026
24,18.4499,1.13027,2.30903,1.07903,0.01632,0.69044,0.24292,0.0463,1.85436,4.03775,1.41037,0.00020394,0.00020394,0.00020394
25,18.9304,1.02892,1.92244,0.98116,0.01764,0.75806,0.2876,0.06596,1.89427,3.95104,1.37161,0.000207148,0.000207148,0.000207148
26,19.3815,0.96925,2.00319,0.95823,0.01764,0.75806,0.2876,0.06596,1.89427,3.95104,1.37161,0.000209884,0.000209884,0.000209884
27,20.0833,1.20602,1.7752,1.05388,0.02021,0.8929,0.35454,0.12297,1.79076,3.83957,1.2576,0.000212149,0.000212149,0.000212149
28,20.5229,1.15995,1.80267,1.03638,0.02021,0.8929,0.35454,0.12297,1.79076,3.83957,1.2576,0.000213943,0.000213943,0.000213943
29,20.9924,0.94322,1.67841,0.92128,0.02161,0.96825,0.39841,0.16847,1.71293,3.73728,1.18284,0.000215265,0.000215265,0.000215265
30,21.4436,1.16961,1.65791,0.98793,0.02161,0.96825,0.39841,0.16847,1.71293,3.73728,1.18284,0.000216115,0.000216115,0.000216115
31,21.9126,0.89446,1.81603,0.93186,0.02152,0.96012,0.43365,0.18054,1.73955,3.72729,1.192,0.000216493,0.000216493,0.000216493
32,22.3652,1.05958,1.67581,0.95856,0.02152,0.96012,0.43365,0.18054,1.73955,3.72729,1.192,0.000216401,0.000216401,0.000216401
33,22.8387,0.90547,1.5453,0.96457,0.02178,0.976,0.4373,0.17196,1.87568,3.70779,1.2574,0.000215836,0.000215836,0.000215836
34,23.2893,0.98569,1.61334,0.9483,0.02178,0.976,0.4373,0.17196,1.87568,3.70779,1.2574,0.0002148,0.0002148,0.0002148
35,23.7681,0.97328,1.44827,0.92481,0.02055,0.8929,0.43314,0.13523,2.06301,3.735,1.38458,0.000213293,0.000213293,0.000213293
36,24.2269,1.13031,1.52849,1.01449,0.02055,0.8929,0.43314,0.13523,2.06301,3.735,1.38458,0.000211313,0.000211313,0.000211313
37,24.7094,1.41368,1.53311,1.1817,0.01864,0.76218,0.40436,0.06938,2.29099,3.81056,1.604,0.000208863,0.000208863,0.000208863
38,25.2706,1.10492,1.30275,1.02689,0.01864,0.76218,0.40436,0.06938,2.29099,3.81056,1.604,0.00020594,0.00020594,0.00020594
39,25.7477,1.19766,1.42716,1.06744,0.01818,0.73779,0.38412,0.05625,2.25647,3.84962,1.63774,0.000202546,0.000202546,0.000202546
40,26.1845,1.25339,1.36078,1.04388,0.01818,0.73779,0.38412,0.05625,2.25647,3.84962,1.63774,0.000198681,0.000198681,0.000198681
41,26.6609,1.07176,1.40124,0.96569,0.01923,0.77766,0.47533,0.06835,2.12015,3.82114,1.53542,0.000194344,0.000194344,0.000194344
42,27.0917,0.86531,1.27185,0.9342,0.01923,0.77766,0.47533,0.06835,2.12015,3.82114,1.53542,0.000189535,0.000189535,0.000189535
43,27.5637,1.07366,1.44812,1.01766,0.02165,0.8929,0.61632,0.11403,1.92451,3.70908,1.35868,0.000184255,0.000184255,0.000184255
44,28.0067,0.88973,1.27625,0.91913,0.02165,0.8929,0.61632,0.11403,1.92451,3.70908,1.35868,0.000178504,0.000178504,0.000178504
45,28.4826,0.99036,1.34498,0.93331,0.02254,0.94052,0.67961,0.18467,1.84622,3.57798,1.24399,0.00017228,0.00017228,0.00017228
46,28.928,0.87027,1.24517,0.93145,0.02254,0.94052,0.67961,0.18467,1.84622,3.57798,1.24399,0.000165585,0.000165585,0.000165585
47,29.4263,0.88739,1.29588,0.9104,0.02361,0.976,0.7478,0.25595,1.76674,3.46608,1.15802,0.000158419,0.000158419,0.000158419
48,29.8823,0.86746,1.29507,0.91295,0.02361,0.976,0.7478,0.25595,1.76674,3.46608,1.15802,0.000150781,0.000150781,0.000150781
49,30.5416,0.84936,1.16107,0.91207,0.0245,0.98413,0.75417,0.3214,1.64015,3.3955,1.10694,0.000142671,0.000142671,0.000142671
50,30.9744,0.84855,1.13935,0.97467,0.0245,0.98413,0.75417,0.3214,1.64015,3.3955,1.10694,0.00013409,0.00013409,0.00013409
51,34.4815,0.88561,1.26565,0.97433,0.02533,1,0.74369,0.35348,1.59795,3.349,1.109,0.000125037,0.000125037,0.000125037
52,34.9646,0.76597,1.17188,0.95828,0.02533,1,0.74369,0.35348,1.59795,3.349,1.109,0.000115513,0.000115513,0.000115513
53,35.4366,0.74535,1.11663,0.90046,0.02533,1,0.74369,0.35348,1.59795,3.349,1.109,0.000105517,0.000105517,0.000105517
54,35.8879,0.68898,1.04844,0.88912,0.02587,1,0.73975,0.36319,1.53446,3.294,1.11477,9.50499e-05,9.50499e-05,9.50499e-05
55,36.3016,0.82548,1.1174,0.97594,0.02587,1,0.73975,0.36319,1.53446,3.294,1.11477,8.41109e-05,8.41109e-05,8.41109e-05
56,36.9151,0.92668,1.29513,1.03013,0.02587,1,0.73975,0.36319,1.53446,3.294,1.11477,7.27004e-05,7.27004e-05,7.27004e-05
57,37.4534,1.15789,1.32068,1.16207,0.02631,1,0.73032,0.35403,1.51004,3.24126,1.1267,6.08182e-05,6.08182e-05,6.08182e-05
58,37.9289,0.83294,1.13597,0.97247,0.02631,1,0.73032,0.35403,1.51004,3.24126,1.1267,4.84645e-05,4.84645e-05,4.84645e-05
59,38.4898,0.90386,1.28731,0.96819,0.02631,1,0.73032,0.35403,1.51004,3.24126,1.1267,3.56393e-05,3.56393e-05,3.56393e-05
60,38.9335,0.68729,1.06758,0.84867,0.02653,1,0.74453,0.36666,1.50264,3.17544,1.14079,2.23424e-05,2.23424e-05,2.23424e-05
